mutation,current,new,nono,adenoma,init dx stage I,init dx stage II,init dx stage III,init dx stage IV,dx stage I,dx stage II,dx stage III,dx stage IV,all cause dx,all cause,cancer death
0,0.5,0.5,0.5,0.5,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,1,1,1,1,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.89,0.89,0.89,0.89,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.87,0.87,0.87,0.87,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.84,0.84,0.84,0.84,,,,,,,,,,,
0,0.82,0.82,0.82,0.82,,,,,,,,,,,
