x,Curve1,,,x
25,0,,,
30.32,0.00E+00,,,0.32
32.48,0.00E+00,,,2.48
35.76,0.00E+00,,,5.76
39.8395,0.1875,,,9.8395
40,0.00E+00,,,
44.3182,0.6562,,,14.3182
49.1962,1.4062,,,19.1962
50,0,,,
,2.3437,,,23.3537
57.4315,3.1875,,,27.4315
62.2285,4.3125,0.234521576,-10.28142589,32.2285
66.6245,5.8125,3.789868668,,36.6245
69.9007,7.2188,60,3.7899,39.9007
72.0582,8.1562,75,9.4771,42.0582
74.0565,8.8125,,,44.0565
75.2542,9.6562,0.704433498,-43.35537931,45.2542
76.1322,10.4062,9.477133005,,46.1322
