Parameter,Cost,Range,Source,Upper_Bound,Lower_Bound,Upper_MLH1_ICER,Lower_MLH1_ICER,Upper_MSH2_ICER,Lower_MSH2_ICER,Upper_MSH6_ICER,Lower_MSH6_ICER,Upper_PMS2_ICER,Lower_PMS2_ICER
csy_no_bx,979.14,463-1006,20,1174.968,783.312,96743.73,53176.36,90095.54,51933.46,0.0,0.0,8123.6,0.0
csy_bx_polyp,1203.0,,20,1443.6,962.4,74976.03,74944.07,71024.89,71004.11,0.0,0.0,2144.06,2124.76
csy_comp_perf,15567.97,8647-22501,8,18681.564,12454.376,74960.05,74960.05,71014.5,71014.5,0.0,0.0,2134.41,2134.41
csy_bleed_transfus_comp,6021.21,2900-7548,8,7225.452,4816.968,74960.05,74960.05,71014.5,71014.5,0.0,0.0,2134.41,2134.41
csy_bleed_no_transfus_comp,383.21,300-500,8,459.852,306.568,74960.05,74960.05,71014.5,71014.5,0.0,0.0,2134.41,2134.41
csy_serosal_burn,6021.21,2900-7548,8,7225.452,4816.968,74960.05,74960.05,71014.5,71014.5,0.0,0.0,2134.41,2134.41
colectomy,30673.0,28920-540000,19,36807.6,24538.4,74960.05,74960.05,71014.5,71014.5,0.0,0.0,2134.41,2134.41
dx stage I,3347.95,2410-5836,20,4017.54,2678.3599999999997,73828.39,76091.7,71552.77,70476.23,0.0,0.0,1298.98,2969.84
dx stage II,3150.37,2296-5813,20,3780.444,2520.296,73650.18,76269.91,69210.1,72818.9,0.0,0.0,1493.92,2774.9
dx stage III,4413.81,3217-6380,20,5296.572,3531.0480000000002,74610.53,75309.56,70711.02,71317.98,0.0,0.0,1756.34,2512.48
dx stage IV,13367.67,6482-16040,20,16041.204,10694.136,74957.74,74962.36,71010.96,71018.04,0.0,0.0,2131.52,2137.3
init dx stage I,45409.31,36327-54491,20,54491.172,36327.448,73916.83,76003.26,71624.98,70404.02,0.0,0.0,966.81,3302.01
init dx stage II,60945.99,48756-73135,20,73135.188,48756.792,72868.66,77051.44,68013.37,74015.63,0.0,0.0,807.63,3461.19
init dx stage III,73974.72,59179-88769,20,88769.664,59179.776,74194.69,75725.41,70324.59,71704.41,0.0,0.0,1146.24,3122.58
init dx stage IV,96295.01,77036-115554,20,115554.01199999999,77036.008,74756.67,75163.43,70701.8,71327.2,0.0,0.0,1877.23,2391.59
csy comp,3981.1760000000004,,weighted average,5971.764,3981.1760000000004,75049.08,74871.01,71092.38,70936.62,0.0,0.0,2159.04,2109.78
