gene,age,sex,value,lower,upper,n,se,var
MLH1,30,female,0.0,,,1686,0.04193368467686083,0.0017584339105783929
MLH1,40,female,0.09,0.063,0.128,1686,0.016581632653061226,0.00027495054144106623
MLH1,50,female,0.182,0.145,0.228,1686,0.021173469387755106,0.0004483158059142026
MLH1,60,female,0.306,0.258,0.361,1686,0.02627551020408163,0.0006904024364847977
MLH1,70,female,0.42100000000000004,0.36200000000000004,0.486,1686,0.031632653061224474,0.001000624739691794
MLH1,75,female,0.483,0.413,0.5589999999999999,1686,0.03724489795918366,0.0013871824239900033
MLH1,30,male,0.033,0.015,0.071,1445,0.014285714285714285,0.0002040816326530612
MLH1,40,male,0.149,0.111,0.19899999999999998,1445,0.02244897959183673,0.000503956684714702
MLH1,50,male,0.325,0.27399999999999997,0.38299999999999995,1445,0.02780612244897959,0.0007731804456476467
MLH1,60,male,0.45899999999999996,0.401,0.523,1445,0.031122448979591835,0.0009686068304872969
MLH1,70,male,0.528,0.461,0.598,1445,0.034948979591836724,0.0012214311745106197
MLH1,75,male,0.56,0.485,0.637,1445,0.03877551020408164,0.0015035401915868393
MSH2,30,female,0.017,0.006,0.052000000000000005,1708,0.011734693877551022,0.00013770304039983344
MSH2,40,female,0.073,0.045,0.11599999999999999,1708,0.018112244897959182,0.0003280534152436484
MSH2,50,female,0.158,0.11800000000000001,0.21,1708,0.023469387755102038,0.0005508121615993334
MSH2,60,female,0.242,0.19399999999999998,0.299,1708,0.026785714285714288,0.0007174744897959185
MSH2,70,female,0.39799999999999996,0.335,0.467,1708,0.0336734693877551,0.00113390254060808
MSH2,75,female,0.426,0.359,0.499,1708,0.03571428571428572,0.001275510204081633
MSH2,30,male,0.036000000000000004,0.015,0.084,1463,0.017602040816326534,0.00030983184089962526
MSH2,40,male,0.10300000000000001,0.067,0.156,1463,0.02270408163265306,0.000515475322782174
MSH2,50,male,0.217,0.168,0.27899999999999997,1463,0.028316326530612234,0.0008018143481882542
MSH2,60,male,0.386,0.32,0.45899999999999996,1463,0.035459183673469376,0.0012573537067888372
MSH2,70,male,0.51,0.428,0.597,1463,0.04311224489795918,0.0018586656601416074
MSH2,75,male,0.5579999999999999,0.46799999999999997,0.6509999999999999,1463,0.04668367346938774,0.002179365368596417
MSH6,30,female,0.0,,,884,0.07996683023354291,0.0063946939376002725
MSH6,40,female,0.012,0.002,0.081,884,0.020153061224489798,0.0004061458767180342
MSH6,50,female,0.04,0.015,0.10300000000000001,884,0.022448979591836737,0.0005039566847147023
MSH6,60,female,0.086,0.047,0.155,884,0.027551020408163266,0.0007590587255310288
MSH6,70,female,0.17300000000000001,0.11199999999999999,0.263,884,0.03852040816326531,0.0014838218450645567
MSH6,75,female,0.17300000000000001,0.11199999999999999,0.263,884,0.03852040816326531,0.0014838218450645567
MSH6,30,male,0.027000000000000003,0.004,0.177,765,0.044132653061224485,0.0019476910662224068
MSH6,40,male,0.057999999999999996,0.018000000000000002,0.17600000000000002,765,0.0403061224489796,0.0016245835068721376
MSH6,50,male,0.069,0.025,0.183,765,0.040306122448979596,0.001624583506872137
MSH6,60,male,0.11800000000000001,0.059000000000000004,0.228,765,0.04311224489795919,0.001858665660141608
MSH6,70,male,0.135,0.071,0.248,765,0.045153061224489796,0.002038798937942524
MSH6,75,male,0.16399999999999998,0.08800000000000001,0.294,765,0.05255102040816326,0.002761609745939191
PMS2,30,female,0.0,,,310,0.22791493666395934,0.0519452183545366
PMS2,40,female,0.0,,,310,0.22791493666395934,0.0519452183545366
PMS2,50,female,0.0,,,310,0.22791493666395934,0.0519452183545366
PMS2,60,female,0.0,,,310,0.22791493666395934,0.0519452183545366
PMS2,70,female,0.085,0.021,0.315,310,0.075,0.005625
PMS2,75,female,0.085,0.021,0.315,310,0.075,0.005625
PMS2,30,male,0.0,,,239,0.29555093828017587,0.08735035711829232
PMS2,40,male,0.0,,,239,0.29555093828017587,0.08735035711829232
PMS2,50,male,0.0,,,239,0.29555093828017587,0.08735035711829232
PMS2,60,male,0.105,0.027000000000000003,0.36,239,0.08494897959183673,0.007216329133694292
PMS2,70,male,0.105,0.027000000000000003,0.36,239,0.08494897959183673,0.007216329133694292
PMS2,75,male,0.32799999999999996,0.127,0.6859999999999999,239,0.14260204081632652,0.020335342044981254
